gorev,kategori,model,dil,tekrar,gecti_sayisi,pass_at_1,pass_at_k,pass_at_k_gecerli,gecen_min,gecen_max,toplam,kararli,hata_tipleri,ort_completion_tok
trc_042,ozyineleme,qwen2.5:0.5b,en,5,2,0.4,1.0,True,0,6,6,False,eksik_fonksiyon,104
trc_043,ozyineleme,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,1,6,False,runtime_import,217
trc_043,ozyineleme,qwen2.5:0.5b,en,5,1,0.2,1.0,True,0,6,6,False,runtime_import,123
trc_044,ozyineleme,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,2,6,False,runtime_import,161
trc_044,ozyineleme,qwen2.5:0.5b,en,5,2,0.4,1.0,True,0,6,6,False,runtime_import,162
trc_045,sayma,qwen2.5:0.5b,tr,5,3,0.6,1.0,True,0,6,6,False,runtime_import,121
trc_045,sayma,qwen2.5:0.5b,en,5,5,1.0,1.0,True,6,6,6,True,,58
trc_046,sayma,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,1,6,False,eksik_fonksiyon,184
trc_046,sayma,qwen2.5:0.5b,en,5,0,0.0,0.0,True,0,3,6,False,runtime_import,242
trc_047,sayma,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,4,6,False,syntax,316
trc_047,sayma,qwen2.5:0.5b,en,5,0,0.0,0.0,True,0,5,6,False,eksik_fonksiyon,142
trc_048,matematik,qwen2.5:0.5b,tr,5,3,0.6,1.0,True,3,6,6,False,,222
trc_048,matematik,qwen2.5:0.5b,en,5,4,0.8,1.0,True,5,6,6,False,,96
trc_049,diziler,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,2,6,False,runtime_import,162
trc_049,diziler,qwen2.5:0.5b,en,5,0,0.0,0.0,True,0,5,6,False,eksik_fonksiyon,108
trc_050,matematik,qwen2.5:0.5b,tr,5,3,0.6,1.0,True,0,6,6,False,,72
trc_050,matematik,qwen2.5:0.5b,en,5,3,0.6,1.0,True,0,6,6,False,eksik_fonksiyon,79
trc_051,diziler,qwen2.5:0.5b,tr,5,3,0.6,1.0,True,1,6,6,False,,199
trc_051,diziler,qwen2.5:0.5b,en,5,3,0.6,1.0,True,0,6,6,False,eksik_fonksiyon,171
trc_052,string,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,5,6,False,runtime_import;syntax,165
trc_052,string,qwen2.5:0.5b,en,5,0,0.0,0.0,True,2,5,6,False,,91
trc_053,matematik,qwen2.5:0.5b,tr,5,2,0.4,1.0,True,0,6,6,False,runtime_import,73
trc_053,matematik,qwen2.5:0.5b,en,5,4,0.8,1.0,True,5,6,6,False,,111
trc_054,mantik,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,3,6,False,eksik_fonksiyon;runtime_import,166
trc_054,mantik,qwen2.5:0.5b,en,5,4,0.8,1.0,True,0,6,6,False,runtime_import,110
trc_055,mantik,qwen2.5:0.5b,tr,5,1,0.2,1.0,True,3,6,6,False,,125
trc_055,mantik,qwen2.5:0.5b,en,5,0,0.0,0.0,True,0,4,6,False,runtime_import,192
trc_056,mantik,qwen2.5:0.5b,tr,5,4,0.8,1.0,True,0,6,6,False,,236
trc_056,mantik,qwen2.5:0.5b,en,5,5,1.0,1.0,True,6,6,6,True,,111
trc_057,ozyineleme,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,2,6,False,eksik_fonksiyon,199
trc_057,ozyineleme,qwen2.5:0.5b,en,5,0,0.0,0.0,True,0,2,6,False,eksik_fonksiyon;runtime_import,140
trc_058,ozyineleme,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,1,6,False,eksik_fonksiyon;runtime_import,89
trc_058,ozyineleme,qwen2.5:0.5b,en,5,2,0.4,1.0,True,0,6,6,False,runtime_import,127
trc_059,ozyineleme,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,2,2,6,True,,195
trc_059,ozyineleme,qwen2.5:0.5b,en,5,0,0.0,0.0,True,0,2,6,False,runtime_import,197
trc_060,sayma,qwen2.5:0.5b,tr,5,2,0.4,1.0,True,0,6,6,False,runtime_import,155
trc_060,sayma,qwen2.5:0.5b,en,5,2,0.4,1.0,True,0,6,6,False,eksik_fonksiyon;runtime_import,123
trc_061,sayma,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,3,6,False,eksik_fonksiyon;runtime_import,179
trc_061,sayma,qwen2.5:0.5b,en,5,0,0.0,0.0,True,0,1,6,False,eksik_fonksiyon;runtime_import;syntax,247
trc_062,sayma,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,1,3,6,False,,323
trc_062,sayma,qwen2.5:0.5b,en,5,4,0.8,1.0,True,0,6,6,False,runtime_import,199
trc_001,diziler,qwen2.5:1.5b,tr,5,0,0.0,0.0,True,2,5,6,False,,148
trc_001,diziler,qwen2.5:1.5b,en,5,1,0.2,1.0,True,5,6,6,False,,61
trc_002,string,qwen2.5:1.5b,tr,5,4,0.8,1.0,True,4,6,6,False,,88
trc_002,string,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,72
trc_003,matematik,qwen2.5:1.5b,tr,5,5,1.0,1.0,True,6,6,6,True,,63
trc_003,matematik,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,63
trc_004,diziler,qwen2.5:1.5b,tr,5,0,0.0,0.0,True,1,2,6,False,,157
trc_004,diziler,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,81
trc_005,string,qwen2.5:1.5b,tr,5,4,0.8,1.0,True,3,6,6,False,,175
trc_005,string,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,33
trc_006,matematik,qwen2.5:1.5b,tr,5,5,1.0,1.0,True,6,6,6,True,,60
trc_006,matematik,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,41
trc_007,diziler,qwen2.5:1.5b,tr,5,4,0.8,1.0,True,0,6,6,False,runtime_import,77
trc_007,diziler,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,30
trc_008,string,qwen2.5:1.5b,tr,5,2,0.4,1.0,True,4,6,6,False,,81
trc_008,string,qwen2.5:1.5b,en,5,2,0.4,1.0,True,5,6,6,False,,50
trc_009,matematik,qwen2.5:1.5b,tr,5,5,1.0,1.0,True,6,6,6,True,,89
trc_009,matematik,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,46
trc_010,mantik,qwen2.5:1.5b,tr,5,3,0.6,1.0,True,2,6,6,False,,130
trc_010,mantik,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,76
trc_011,mantik,qwen2.5:1.5b,tr,5,4,0.8,1.0,True,4,6,6,False,,71
trc_011,mantik,qwen2.5:1.5b,en,5,4,0.8,1.0,True,4,6,6,False,,44
trc_012,mantik,qwen2.5:1.5b,tr,5,4,0.8,1.0,True,4,6,6,False,,120
trc_012,mantik,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,50
trc_013,mantik,qwen2.5:1.5b,tr,5,5,1.0,1.0,True,6,6,6,True,,79
trc_013,mantik,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,77
trc_014,ozyineleme,qwen2.5:1.5b,tr,5,5,1.0,1.0,True,6,6,6,True,,65
trc_014,ozyineleme,qwen2.5:1.5b,en,5,4,0.8,1.0,True,0,6,6,False,,47
trc_015,ozyineleme,qwen2.5:1.5b,tr,5,4,0.8,1.0,True,5,6,6,False,,76
trc_015,ozyineleme,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,87
trc_016,ozyineleme,qwen2.5:1.5b,tr,5,2,0.4,1.0,True,3,6,6,False,,93
trc_016,ozyineleme,qwen2.5:1.5b,en,5,3,0.6,1.0,True,2,6,6,False,,61
trc_017,ozyineleme,qwen2.5:1.5b,tr,5,4,0.8,1.0,True,2,6,6,False,,80
trc_017,ozyineleme,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,35
trc_018,sayma,qwen2.5:1.5b,tr,5,2,0.4,1.0,True,0,6,6,False,syntax,309
trc_018,sayma,qwen2.5:1.5b,en,5,2,0.4,1.0,True,0,6,6,False,,38
trc_019,sayma,qwen2.5:1.5b,tr,5,1,0.2,1.0,True,0,6,6,False,,152
trc_019,sayma,qwen2.5:1.5b,en,5,0,0.0,0.0,True,3,4,6,False,,84
trc_020,sayma,qwen2.5:1.5b,tr,5,2,0.4,1.0,True,3,6,6,False,,147
trc_020,sayma,qwen2.5:1.5b,en,5,4,0.8,1.0,True,5,6,6,False,,91
trc_021,diziler,qwen2.5:1.5b,tr,5,0,0.0,0.0,True,2,5,6,False,,127
trc_021,diziler,qwen2.5:1.5b,en,5,0,0.0,0.0,True,2,5,6,False,,75
trc_022,diziler,qwen2.5:1.5b,tr,5,0,0.0,0.0,True,2,4,6,False,,205
trc_022,diziler,qwen2.5:1.5b,en,5,1,0.2,1.0,True,4,6,6,False,,75
trc_023,ozyineleme,qwen2.5:1.5b,tr,5,4,0.8,1.0,True,1,6,6,False,,86
trc_023,ozyineleme,qwen2.5:1.5b,en,5,0,0.0,0.0,True,1,1,6,True,,37
trc_024,mantik,qwen2.5:1.5b,tr,5,4,0.8,1.0,True,3,6,6,False,,176
trc_024,mantik,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,74
trc_025,string,qwen2.5:1.5b,tr,5,5,1.0,1.0,True,6,6,6,True,,45
trc_025,string,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,49
trc_026,string,qwen2.5:1.5b,tr,5,4,0.8,1.0,True,2,6,6,False,,128
trc_026,string,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,38
trc_027,string,qwen2.5:1.5b,tr,5,5,1.0,1.0,True,6,6,6,True,,117
trc_027,string,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,38
trc_028,diziler,qwen2.5:1.5b,tr,5,0,0.0,0.0,True,2,5,6,False,,159
trc_028,diziler,qwen2.5:1.5b,en,5,2,0.4,1.0,True,2,6,6,False,,76
trc_029,string,qwen2.5:1.5b,tr,5,5,1.0,1.0,True,6,6,6,True,,94
trc_029,string,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,69
trc_030,mantik,qwen2.5:1.5b,tr,5,0,0.0,0.0,True,0,5,6,False,runtime_import,164
trc_030,mantik,qwen2.5:1.5b,en,5,3,0.6,1.0,True,0,6,6,False,runtime_import,145
trc_031,ozyineleme,qwen2.5:1.5b,tr,5,5,1.0,1.0,True,6,6,6,True,,101
trc_031,ozyineleme,qwen2.5:1.5b,en,5,1,0.2,1.0,True,0,6,6,False,,29
trc_032,matematik,qwen2.5:1.5b,tr,5,5,1.0,1.0,True,6,6,6,True,,63
trc_032,matematik,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,63
trc_033,diziler,qwen2.5:1.5b,tr,5,0,0.0,0.0,True,1,3,6,False,,168
trc_033,diziler,qwen2.5:1.5b,en,5,3,0.6,1.0,True,3,6,6,False,,95
trc_034,string,qwen2.5:1.5b,tr,5,4,0.8,1.0,True,0,6,6,False,syntax,162
trc_034,string,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,33
trc_035,matematik,qwen2.5:1.5b,tr,5,5,1.0,1.0,True,6,6,6,True,,56
trc_035,matematik,qwen2.5:1.5b,en,5,4,0.8,1.0,True,0,6,6,False,,34
trc_036,diziler,qwen2.5:1.5b,tr,5,4,0.8,1.0,True,0,6,6,False,runtime_import,103
trc_036,diziler,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,29
trc_037,string,qwen2.5:1.5b,tr,5,2,0.4,1.0,True,2,6,6,False,,103
trc_037,string,qwen2.5:1.5b,en,5,2,0.4,1.0,True,0,6,6,False,,57
trc_038,matematik,qwen2.5:1.5b,tr,5,3,0.6,1.0,True,0,6,6,False,runtime_import,75
trc_038,matematik,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,45
trc_039,mantik,qwen2.5:1.5b,tr,5,0,0.0,0.0,True,2,4,6,False,,74
trc_039,mantik,qwen2.5:1.5b,en,5,4,0.8,1.0,True,4,6,6,False,,40
trc_040,mantik,qwen2.5:1.5b,tr,5,5,1.0,1.0,True,6,6,6,True,,168
trc_040,mantik,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,50
trc_041,mantik,qwen2.5:1.5b,tr,5,0,0.0,0.0,True,0,0,6,True,,129
trc_041,mantik,qwen2.5:1.5b,en,5,3,0.6,1.0,True,1,6,6,False,,80
trc_042,ozyineleme,qwen2.5:1.5b,tr,5,1,0.2,1.0,True,2,6,6,False,,91
trc_042,ozyineleme,qwen2.5:1.5b,en,5,3,0.6,1.0,True,2,6,6,False,,61
trc_043,ozyineleme,qwen2.5:1.5b,tr,5,1,0.2,1.0,True,0,6,6,False,runtime_import,103
trc_043,ozyineleme,qwen2.5:1.5b,en,5,3,0.6,1.0,True,1,6,6,False,,71
trc_044,ozyineleme,qwen2.5:1.5b,tr,5,2,0.4,1.0,True,0,6,6,False,,135
trc_044,ozyineleme,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,34
trc_045,sayma,qwen2.5:1.5b,tr,5,4,0.8,1.0,True,2,6,6,False,,87
trc_045,sayma,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,33
trc_046,sayma,qwen2.5:1.5b,tr,5,0,0.0,0.0,True,1,3,6,False,,165
trc_046,sayma,qwen2.5:1.5b,en,5,4,0.8,1.0,True,3,6,6,False,,88
trc_047,sayma,qwen2.5:1.5b,tr,5,0,0.0,0.0,True,1,4,6,False,,149
trc_047,sayma,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,103
trc_048,matematik,qwen2.5:1.5b,tr,5,3,0.6,1.0,True,5,6,6,False,,94
trc_048,matematik,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,93
trc_049,diziler,qwen2.5:1.5b,tr,5,0,0.0,0.0,True,0,2,6,False,,140
trc_049,diziler,qwen2.5:1.5b,en,5,2,0.4,1.0,True,2,6,6,False,,87
trc_050,matematik,qwen2.5:1.5b,tr,5,5,1.0,1.0,True,6,6,6,True,,77
trc_050,matematik,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,31
trc_051,diziler,qwen2.5:1.5b,tr,5,4,0.8,1.0,True,0,6,6,False,runtime_import,93
trc_051,diziler,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,40
trc_052,string,qwen2.5:1.5b,tr,5,1,0.2,1.0,True,4,6,6,False,,83
trc_052,string,qwen2.5:1.5b,en,5,3,0.6,1.0,True,5,6,6,False,,50
trc_053,matematik,qwen2.5:1.5b,tr,5,3,0.6,1.0,True,0,6,6,False,runtime_import,148
trc_053,matematik,qwen2.5:1.5b,en,5,1,0.2,1.0,True,0,6,6,False,runtime_import,59
trc_054,mantik,qwen2.5:1.5b,tr,5,0,0.0,0.0,True,0,2,6,False,,256
trc_054,mantik,qwen2.5:1.5b,en,5,4,0.8,1.0,True,5,6,6,False,,75
trc_055,mantik,qwen2.5:1.5b,tr,5,0,0.0,0.0,True,2,4,6,False,,83
trc_055,mantik,qwen2.5:1.5b,en,5,2,0.4,1.0,True,2,6,6,False,,69
trc_056,mantik,qwen2.5:1.5b,tr,5,5,1.0,1.0,True,6,6,6,True,,93
trc_056,mantik,qwen2.5:1.5b,en,5,3,0.6,1.0,True,3,6,6,False,,78
trc_057,ozyineleme,qwen2.5:1.5b,tr,5,0,0.0,0.0,True,1,3,6,False,,66
trc_057,ozyineleme,qwen2.5:1.5b,en,5,0,0.0,0.0,True,2,3,6,False,,86
trc_058,ozyineleme,qwen2.5:1.5b,tr,5,0,0.0,0.0,True,2,3,6,False,,133
trc_058,ozyineleme,qwen2.5:1.5b,en,5,3,0.6,1.0,True,0,6,6,False,runtime_import,61
trc_059,ozyineleme,qwen2.5:1.5b,tr,5,0,0.0,0.0,True,2,2,6,True,,210
trc_059,ozyineleme,qwen2.5:1.5b,en,5,5,1.0,1.0,True,6,6,6,True,,43
trc_060,sayma,qwen2.5:1.5b,tr,5,1,0.2,1.0,True,1,6,6,False,,103
trc_060,sayma,qwen2.5:1.5b,en,5,3,0.6,1.0,True,3,6,6,False,,71
trc_061,sayma,qwen2.5:1.5b,tr,5,0,0.0,0.0,True,1,3,6,False,,140
trc_061,sayma,qwen2.5:1.5b,en,5,1,0.2,1.0,True,3,6,6,False,,95
trc_062,sayma,qwen2.5:1.5b,tr,5,4,0.8,1.0,True,2,6,6,False,,152
trc_062,sayma,qwen2.5:1.5b,en,5,1,0.2,1.0,True,4,6,6,False,,89
trc_001,diziler,qwen2.5:3b,tr,5,0,0.0,0.0,True,0,2,6,False,syntax,106
trc_001,diziler,qwen2.5:3b,en,5,1,0.2,1.0,True,1,6,6,False,,64
trc_002,string,qwen2.5:3b,tr,5,5,1.0,1.0,True,6,6,6,True,,49
trc_002,string,qwen2.5:3b,en,5,5,1.0,1.0,True,6,6,6,True,,40
trc_003,matematik,qwen2.5:3b,tr,5,0,0.0,0.0,True,4,4,6,True,,48
trc_003,matematik,qwen2.5:3b,en,5,5,1.0,1.0,True,6,6,6,True,,62
trc_004,diziler,qwen2.5:3b,tr,5,0,0.0,0.0,True,0,0,6,True,eksik_fonksiyon,58
trc_004,diziler,qwen2.5:3b,en,5,2,0.4,1.0,True,4,6,6,False,,51
trc_005,string,qwen2.5:3b,tr,5,5,1.0,1.0,True,6,6,6,True,,31
trc_005,string,qwen2.5:3b,en,5,5,1.0,1.0,True,6,6,6,True,,47
trc_006,matematik,qwen2.5:3b,tr,5,5,1.0,1.0,True,6,6,6,True,,33
trc_006,matematik,qwen2.5:3b,en,5,5,1.0,1.0,True,6,6,6,True,,28
trc_007,diziler,qwen2.5:3b,tr,5,5,1.0,1.0,True,6,6,6,True,,29
trc_007,diziler,qwen2.5:3b,en,5,5,1.0,1.0,True,6,6,6,True,,29
trc_008,string,qwen2.5:3b,tr,5,3,0.6,1.0,True,5,6,6,False,,48
trc_008,string,qwen2.5:3b,en,5,1,0.2,1.0,True,5,6,6,False,,39
trc_009,matematik,qwen2.5:3b,tr,5,5,1.0,1.0,True,6,6,6,True,,41
trc_009,matematik,qwen2.5:3b,en,5,5,1.0,1.0,True,6,6,6,True,,36
